station,date,file_id,file,pod,minutes_on,min_temp,max_temp,minutes_lying,n_clicks,dph,n_encounters,dps,n_trains,remove
1014,2011-06-25,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
1014,2011-06-26,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,0,0,0,0,0,FALSE
1014,2011-06-27,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,115,1,1,5,5,FALSE
1014,2011-06-28,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,0,0,0,0,0,FALSE
1014,2011-06-29,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.2,3.4,0,0,0,0,0,0,FALSE
1014,2011-06-30,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,0,0,0,0,0,FALSE
1014,2011-07-01,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,0,0,0,0,0,FALSE
1014,2011-07-02,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.4,0,0,0,0,0,0,FALSE
1014,2011-07-03,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
1014,2011-07-04,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,3.8,0,0,0,0,0,0,FALSE
1014,2011-07-05,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,3.8,0,0,0,0,0,0,FALSE
1014,2011-07-06,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,3.8,0,0,0,0,0,0,FALSE
1014,2011-07-07,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.2,4,0,0,0,0,0,0,FALSE
1014,2011-07-08,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,4.6,0,0,0,0,0,0,FALSE
1014,2011-07-09,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,4.6,0,0,0,0,0,0,FALSE
1014,2011-07-10,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-11,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-12,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,4,0,0,0,0,0,0,FALSE
1014,2011-07-13,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,4,0,0,0,0,0,0,FALSE
1014,2011-07-14,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,4,0,0,0,0,0,0,FALSE
1014,2011-07-15,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-16,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,1,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-17,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-18,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.8,4.2,0,0,0,0,0,0,FALSE
1014,2011-07-19,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,1440,0.4,4.6,0,0,0,0,0,0,FALSE
1014,2011-07-20,101401,101401-A 2011 04 13 POD1228 file01.CP3,POD1228,675,0.4,4,1,0,0,0,0,0,TRUE
1014,2011-07-20,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,757,0,16.6,0,0,0,0,0,0,TRUE
1014,2011-07-21,101402,101402-B 2011 07 20 POD1235 file01.CP3,POD1235,1440,0.2,0.8,0,0,0,0,0,0,FALSE
